date,frequency,Sentiment,count,Avg_per
01/06/2020,2,negative,1129221,0.568677319
02/06/2020,3,negative,993241,0.512816052
03/06/2020,4,negative,1052427,0.546613716
04/06/2020,1,negative,1045597,0.550742333
05/06/2020,1,negative,776734,0.534414478
06/06/2020,1,negative,1299103,0.489688475
07/06/2020,4,negative,1387285,0.53347208
08/06/2020,1,negative,1176269,0.464081471
09/06/2020,1,negative,1204569,0.446635546
10/06/2020,3,negative,1336280,0.458818649
11/06/2020,1,negative,1321069,0.437524664
12/06/2020,1,negative,1363457,0.454616811
13/06/2020,4,negative,1402478,0.485367695
14/06/2020,1,negative,1450128,0.51729725
15/06/2020,1,negative,1619914,0.502106036
16/06/2020,2,negative,1437913,0.459014934
17/06/2020,1,negative,1443361,0.462769985
18/06/2020,4,negative,1312861,0.434301127
19/06/2020,2,negative,1220364,0.393748357
20/06/2020,1,negative,1246485,0.420790658
21/06/2020,1,negative,1460745,0.504070911
22/06/2020,1,negative,1444967,0.468152242
23/06/2020,1,negative,1580404,0.463926801
24/06/2020,2,negative,1501190,0.440636743
25/06/2020,1,negative,1716072,0.480539629
26/06/2020,1,negative,1858199,0.490574673
27/06/2020,1,negative,1628246,0.473899912
28/06/2020,1,negative,1628051,0.479261848
29/06/2020,1,negative,1635983,0.473323798
30/06/2020,1,negative,1842600,0.48956701
01/07/2020,1,negative,1799952,0.478112249
02/07/2020,1,negative,1697218,0.471158561
03/07/2020,2,negative,1682233,0.461997181
04/07/2020,1,negative,1636422,0.472370743
05/07/2020,3,negative,1653266,0.484968791
06/07/2020,1,negative,1808494,0.48459523
07/07/2020,1,negative,1618622,0.460727715
08/07/2020,1,negative,1641766,0.452338085
09/07/2020,3,negative,1555942,0.450747
10/07/2020,1,negative,1612422,0.495094759
11/07/2020,2,negative,1470493,0.463031955
12/07/2020,2,negative,1285886,0.451882603
13/07/2020,13,negative,1841312,0.458565732
14/07/2020,1,negative,1742244,0.468496832
15/07/2020,1,negative,1996229,0.499907867
16/07/2020,2,negative,1977195,0.510158922
17/07/2020,1,negative,1923943,0.500872709
18/07/2020,2,negative,1621635,0.467100916
19/07/2020,4,negative,1682374,0.481884702
20/07/2020,1,negative,1530898,0.47247281
21/07/2020,1,negative,1555751,0.459969037
22/07/2020,1,negative,1484759,0.436198031
23/07/2020,1,negative,1490028,0.456195621
24/07/2020,1,negative,1418079,0.454885939
25/07/2020,2,negative,1404785,0.448567701
26/07/2020,1,negative,1417240,0.476398021
27/07/2020,1,negative,1460828,0.441167151
28/07/2020,1,negative,1705072,0.459894232
29/07/2020,2,negative,1536426,0.428348507
30/07/2020,1,negative,1695378,0.47233572
31/07/2020,3,negative,1552115,0.449061033
01/08/2020,1,negative,1366555,0.448543468
02/08/2020,1,negative,1485374,0.456430721
03/08/2020,1,negative,1434976,0.463708517
04/08/2020,1,negative,1614891,0.479214272
05/08/2020,1,negative,1309972,0.452782999
06/08/2020,2,negative,1476609,0.47859376
07/08/2020,1,negative,1425240,0.458677095
08/08/2020,1,negative,1352948,0.489330911
09/08/2020,1,negative,1526275,0.496265094
10/08/2020,1,negative,1605333,0.464590254
11/08/2020,1,negative,1476775,0.445399842
12/08/2020,2,negative,1225377,0.454692298
13/08/2020,1,negative,1333123,0.446244434
14/08/2020,1,negative,1310455,0.446601427
